头实体,关系,尾实体
西安交通大学,知名人物,许国志
马少骅,毕业院校,上海戏剧学院
湖南大学,知名人物,傅自应
庵野秀明,毕业院校,大阪艺术大学
西安交通大学管理学院,现任领导,冯耕中
香港大学,知名人物,范徐丽泰
文熙俊,毕业院校,京畿大学
湖南大学,知名人物,袁纯清
山西大学,知名人物,皮三
郭世伦,毕业院校,世新大学
北京科技大学,知名人物,邢书成
郝汉,毕业院校,北京电影学院
赵勇,毕业院校,芝加哥大学
金山,毕业院校,中国传媒大学
张光北,毕业院校,中央戏剧学院
哈尔滨工业大学,知名人物,李昌
北京大学,知名人物,千家驹
安徽师范大学,知名人物,池子华
西南大学,历任领导,张卫国
葵咪莎拉·普碟,毕业院校,泰国国立法政大学
姜妍,毕业院校,北京电影学院
谢用九,毕业院校,兰州大学
成均馆大学,知名人物,徐智慧
海南大学,现任领导,陈骏
王刚,毕业院校,东北林业大学
韩秋池,毕业院校,中央戏剧学院
西北政法大学,知名人物,田文昌
郑萍,毕业院校,上海戏剧学院
田涛,毕业院校,电子科技大学
同济大学,知名人物,秦云
林妙可,毕业院校,南京艺术学院
重庆大学,知名人物,秦少波
重庆工商大学,知名人物,况由志
海南大学,知名人物,蒋菊生
哈尔滨工业大学,知名人物,马兴瑞
西南交通大学,知名人物,张沛霖
中国作家协会,历任领导,白庚胜
复旦大学,创始人,马相伯
陈凯歌,毕业院校,北京电影学院
陈波,毕业院校,山东大学
北京林业大学,知名人物,吴斌
聂远,毕业院校,上海戏剧学院
唐梓翔,毕业院校,中央戏剧学院
简军,毕业院校,对外经济贸易大学
京都大学,知名人物,绫辻行人
东南大学,知名人物,潘菽
钟丽缇,毕业院校,魁北克大学
山西大学,知名人物,储德群
北京交通大学,知名人物,武克钢
中国科学院大学,知名人物,吴征镒
同济大学,知名人物,郭丰民
湖南大学,知名人物,罗和安
斯坦福大学,知名人物,拉里·佩奇
重庆大学,知名人物,吴碧莲
萧亮,毕业院校,香港华仁书院
南京邮电大学,知名人物,周德强
四川师范大学,知名人物,王川
北京大学法学院,知名人物,罗豪才
中国社会科学院研究生院,知名人物,林文肯
周景雷,毕业院校,复旦大学
台湾大学,知名人物,张汝京
西安交通大学,历任领导,张廷金
尹鸿,毕业院校,四川大学
四川师范大学,知名人物,范红
东南大学,知名人物,冯泽芳
四川师范大学,知名人物,徐勇
秦怡,毕业院校,上海中华职业学校
伦敦大学,知名人物,林依晨
安徽师范大学,知名人物,高岱
哈尔滨工业大学,现任领导,刘宏
上官瞳,毕业院校,上海戏剧学院
北京电影学院,知名人物,杨欣颖
湘潭大学,知名人物,张耀明
陈嘉俊,毕业院校,欧洲学院
厄尔·巴隆,毕业院校,孟菲斯大学
中国人民大学,知名人物,高鸿业
娜塔妮查·纳瓦塔纳瓦尼,毕业院校,曼谷大学
香港科技大学,知名人物,李圣泼
张文生,毕业院校,陕西师范大学
胡冰卿,毕业院校,上海视觉艺术学院
西安交通大学,历任领导,吴有训
劳拉·弗林·鲍尔,毕业院校,芝加哥艺术学院
东南大学,知名人物,蔡旭
四川师范大学,知名人物,刘会英
隋咏良,毕业院校,中央戏剧学院
杨祐宁,毕业院校,亚太创意技术学院
河北师范大学,现任领导,郭毅
王志雄,毕业院校,江西财经大学
东南大学,历任领导,陈光
上海师范大学,知名人物,范冰冰
上海大学,知名人物,干勇
东南大学,知名人物,周志宏
湖南大学,知名人物,张群山
中国科学院大学,知名人物,任新民
黄学东,毕业院校,爱丁堡大学
同济大学,知名人物,郑时龄
汉阳大学,知名人物,张东润
四川农业大学,历任领导,曾省
李保田,毕业院校,中央戏剧学院
湖南大学,知名人物,倪正东
佟梦实,毕业院校,中国矿业大学
上海理工大学,知名人物,周国雄
复旦大学,知名人物,俞瑾
西南交通大学,知名人物,黄万里
罗先刚,毕业院校,中国科学院光电技术研究所
中国作家协会,历任领导,葛洛
孙绍龙,毕业院校,中央戏剧学院
腾格尔,毕业院校,天津音乐学院
李振国,毕业院校,兰州大学
傅云昭,毕业院校,北京电影学院
马聪,毕业院校,中南民族大学
圣约翰大学,知名人物,孟宪承
上海师范大学,知名人物,沙海林
复旦大学,知名人物,袁木
周翔,毕业院校,中央戏剧学院
王李丹鈮,毕业院校,华东师范大学
重庆市人力资源和社会保障局,现任领导,谢辛
北京电影学院,知名人物,崔鹏
重庆大学,知名人物,尹华川
北京大学,知名人物,蒋梦麟
安徽师范大学,知名人物,吴春梅
陈思,毕业院校,湖南师范大学
香港科技大学,知名人物,朱燕民
芙蓉姐姐,毕业院校,陕西理工大学
罗北安,毕业院校,台北艺术大学
北京师范大学,现任领导,张雁云
东北石油大学,知名人物,董世民
香港中文大学,知名人物,林资健
青岛科技大学,知名人物,徐良
孙家栋,毕业院校,茹科夫斯基空军工程学院
戴廷龙,毕业院校,香港科技大学
重庆大学,知名人物,赵化宇
张玲,毕业院校,云南大学
李凯馨,毕业院校,北京电影学院
湖南大学,知名人物,马克俭
香港大学,知名人物,米耀荣
中国社会科学院研究生院,知名人物,邸晓峰
鞠可儿,毕业院校,上海视觉艺术学院
吉林大学,知名人物,康玉柱
南开大学,知名人物,张伟平
保罗·吉亚玛提,毕业院校,耶鲁大学
中国社会科学院研究生院,知名人物,王景荣
湖南大学,知名人物,杨金强
国立西南联合大学,知名人物,陈梦熊
金珈,毕业院校,中央戏剧学院
王雪梅,毕业院校,南京理工大学
安唯绫,毕业院校,台湾师范大学
李诗萌,毕业院校,吉林大学
北京邮电大学,知名人物,卢建军
西安电子科技大学,知名人物,欧阳文
金有锡,毕业院校,东国大学
陈波,毕业院校,爱丁堡大学
香港演艺学院,知名人物,关宝慧
延边大学,历任领导,金柄珉
东北石油大学,知名人物,郭柏云
香港中文大学,知名人物,戴若犁
童友好,毕业院校,中国科学技术大学
北京电影学院,知名人物,小顼芈
湘潭大学,知名人物,蒋大兴
同济大学,知名人物,胡康生
重庆大学美视电影学院,知名人物,李惠娟
王佳璇,毕业院校,西安外国语大学
中国社会科学院研究生院,知名人物,郑新立
汉阳大学,知名人物,金武星
张可艾,毕业院校,山西传媒学院
叶茂,毕业院校,香港中文大学数学科学研究所
中国科学院,现任领导,孙也刚
王涛,毕业院校,河北传媒学院
西安交通大学,知名人物,郭烈锦
扎露尼·素萨瓦,毕业院校,宣素那他皇家大学
周冬雨,毕业院校,北京电影学院
上白石萌音,毕业院校,明治大学
刘九如,毕业院校,湘潭大学
安徽师范大学,领导,胡朝荣
华东师范大学,知名人物,刘慧晏
木子洋,毕业院校,北京服装学院
西安交通大学,知名人物,沈闻孙
四川师范大学,知名人物,刘国伟
梁舜燕,毕业院校,庇理罗士女子中学
华中师范大学,知名人物,陈义龙
冯秦川,毕业院校,中国人民解放军国防大学军事文化学院
兰州交通大学,知名人物,王悦明
连续,毕业院校,四川音乐学院
香港中文大学,历任领导,利国伟
西安电子科技大学,知名人物,阴和俊
刘大中,毕业院校,康奈尔大学
吉林大学,知名人物,江风益
重庆交通大学,现任领导,郑旭煦
邓龙江,毕业院校,电子科技大学
山西大学,历任领导,渠本翘
严基俊,毕业院校,首尔艺术大学
余少群,毕业院校,武汉市艺术学校
西安交通大学,知名人物,郭敏杰
斯坦福大学,知名人物,沃伦·迈纳·克里斯托弗
邱运华,毕业院校,北京师范大学
龙隆,毕业院校,中国文化大学
华中师范大学,知名人物,王建鸣
林博洋,毕业院校,北京电影学院
中国人民大学,历任领导,张腾霄
卢肇钧,毕业院校,麻省理工学院
陈兴,毕业院校,哈佛大学医学院
周文德,毕业院校,伊利诺伊大学厄巴纳-香槟分校
中国人民大学,知名人物,宋丽萍
浙江大学,历任领导,杨士林
蔡卓妍,毕业院校,玫瑰岗学校
香港中文大学,知名人物,黄灏玄
高建华,毕业院校,上海科学技术大学
于小琬,毕业院校,沈阳音乐学院
北京电影学院,知名人物,吴承轩
辛鹏,毕业院校,中央戏剧学院
李叶青,毕业院校,中央戏剧学院
北京电影学院,知名人物,陆诗雨
姚桐斌,毕业院校,交通大学贵州分校
重庆大学,知名人物,熊显彬
四川师范大学,知名人物,钱昆
张丹峰,毕业院校,上海戏剧学院
中国作家协会,历任领导,茅盾
关牧村,毕业院校,南开大学历史研究所
湖南大学,知名人物,戴道晋
北京电影学院,知名人物,李昊宇
湘潭大学,知名人物,谭曼
国立西南联合大学,知名人物,李正武
香港中文大学,知名人物,熊跃根
姜涛,毕业院校,南京师范大学
代斯,毕业院校,中央戏剧学院
四川师范大学,知名人物,周剑
北京大学,历任领导,劳乃宣
北京大学,知名人物,许宝騄
北京大学,知名人物,黄子卿
李前宽,毕业院校,北京电影学院
哈尔滨工业大学,知名人物,郭重庆
重庆大学,知名人物,黄文熙
山西大学,知名人物,王凯
北京交通大学,知名人物,李河君
张宁,毕业院校,南京大学
高昂,毕业院校,中央戏剧学院
北京电影学院,知名人物,李明德
卢卓婕,毕业院校,北京电影学院
何毅,毕业院校,西南财经大学
张本煜,毕业院校,内蒙古工业大学管理学院
乔晟一,毕业院校,北京电影学院
香港中文大学,知名人物,张煊昌
哈尔滨工业大学,知名人物,周铁农
北京交通大学,知名人物,牛志升
中国科学院大学,知名人物,竺可桢
四川师范大学,知名人物,梁国平
湘潭大学,知名人物,刘九如
吉米·辛普森,毕业院校,宾州布鲁姆斯堡大学
胡伟,毕业院校,中国社会科学院
西安电子科技大学,现任领导,刘宏伟
东南大学,历任领导,易红
曹春晓,毕业院校,交通大学
周星驰,毕业院校,无线电视艺员训练班
上海理工大学,知名人物,周宣城
香港中文大学,知名人物,蒋俏蕾
中央戏剧学院,知名人物,任鸣
禾浩辰,毕业院校,台南大学
曾毓群,毕业院校,中国科学院物理研究所
西安美术学院,历任领导,钟纪明
李文玲,毕业院校,北京电影学院
兰州交通大学,知名人物,中国科学院院士
北京大学,知名人物,叶圣陶
王瀚,毕业院校,吉林艺术学院
海哈金喜,毕业院校,中央戏剧学院
卢靖姗,毕业院校,伦敦政治经济学院
香港中文大学,知名人物,谭赣兰
四川师范大学,知名人物,吴旭
张家骅,毕业院校,东北师范大学
林鹏,毕业院校,中央戏剧学院
台湾大学,知名人物,钱煦
香港中文大学,知名人物,陈树强
邱虹,毕业院校,湖南大学
萧锋,毕业院校,南京艺术学院
四川师范大学,知名人物,陈锡明
首尔艺术大学,知名人物,具惠善
东北石油大学,知名人物,史兴全
山西大学,知名人物,梁朝辉
南开大学,知名人物,涂光炽
四川大学,现任领导,汪劲松
北京大学,知名人物,蔡方荫
李娟,毕业院校,华东师范大学
利兹大学,知名人物,梁君彦
卿凤翎,毕业院校,中国科学院上海有机化学研究所
赵景春,毕业院校,中央民族大学
斯坦福大学,知名人物,杨致远
广西师范大学,知名人物,李清先
北京理工大学,历任领导,刘再生
刘安琪,毕业院校,中央戏剧学院
吉林大学,知名人物,张宝顺
重庆大学美视电影学院,知名人物,侯姝
西安交通大学,知名人物,徐芝纶
中国美术学院,历任领导,许江
清华大学,历任领导,刁作谦
叶梓萱,毕业院校,上海工程技术大学
王金武,毕业院校,东北农业大学
同济大学,知名人物,蒋涤非
香港城市大学,知名人物,独立非执行董事
刘季洪,毕业院校,北京师范大学
清华大学,历任领导,曹云祥
张林,毕业院校,重庆大学
北京大学,知名人物,周光召
刘佩琦,毕业院校,中国人民解放军国防大学军事文化学院
西安交通大学,历任领导,林茵如
香港中文大学,知名人物,颜水成
南开大学,知名人物,张国刚
湖南大学,知名人物,王守法
复旦大学,知名人物,曹景行
伦敦大学,知名人物,波兰总理
中国传媒大学,知名人物,任曦
西安交通大学,知名人物,张大煜
李新,毕业院校,中国科学院大连化学物理研究所
香港中文大学,知名人物,何志华
雷天岳,毕业院校,交通大学
四川传媒学院,知名人物,田桐
西南交通大学,知名人物,任恩恩
张利,毕业院校,四川大学
西安交通大学,知名人物,潘文渊
清华大学美术学院,现任领导,董书兵
四川大学,现任领导,刘超
西安交通大学,知名人物,屠善澄
崔志佳,毕业院校,北京现代音乐研修学院
香港科技大学,领导,李家超
华中师范大学,知名人物,肖菊华
南开大学,知名人物,窦树华
林婉盈,毕业院校,中国戏曲学院
西安交通大学,知名人物,何毅
白健恩,毕业院校,香港演艺学院
安徽师范大学,知名人物,王春雨
哈尔滨工业大学,知名人物,吴中福
邓秀新,毕业院校,华中农业大学
华中师范大学,历任领导,章开沅
中国科学技术大学,历任领导,汤洪高
陈玘,毕业院校,上海体育学院
韩东君,毕业院校,上海戏剧学院
张凯,毕业院校,吉林艺术学院
北华大学,现任领导,杨月婷
吴彦祖,毕业院校,俄勒冈大学
西南大学,知名人物,杜和平
吴佳尼,毕业院校,北京舞蹈学院
李姬珍,毕业院校,东亚广播艺术大学
姚晨,毕业院校,北京电影学院
吴茜,毕业院校,中国音乐学院
香港中文大学,知名人物,吴国声
王乙竹,毕业院校,中央戏剧学院
北京交通大学,知名人物,杨宇栋
刘平,毕业院校,西安交通大学
蓝洁瑛,毕业院校,格致书院
高云翔,毕业院校,上海戏剧学院
中国传媒大学,知名人物,芮格
四川大学,现任领导,李正赤
尚雯婕,毕业院校,复旦大学
北京电影学院,知名人物,周也
西北大学,知名人物,贾平凹
山西大学,知名人物,孙健初
圣约翰大学,知名人物,杨宽麟
栗子儿,毕业院校,中央戏剧学院
片桐仁,毕业院校,多摩美术大学
南京艺术学院,现任领导,张凌浩
史卿妍,毕业院校,北京舞蹈学院
北京电影学院,知名人物,刘芮侨
哈尔滨工业大学,知名人物,宋恩华
谢宁,毕业院校,北京师范大学
重庆南开中学,知名人物,陈景秋
张维宁,毕业院校,武汉大学
西北大学,知名人物,沈宁
上海大学,知名人物,吴明红
北京电影学院,知名人物,赵思
王敬波,毕业院校,西北政法大学
张雅卓,毕业院校,中央戏剧学院
上海理工大学,知名人物,倪征燠
合肥工业大学,知名人物,金问荣
湖南师范大学,知名人物,张枣
炎亚纶,毕业院校,中国文化大学
王雨涵,毕业院校,维多利亚大学
香港中文大学,知名人物,张荣森
陈长海,毕业院校,北京电影学院
中国作家协会,历任领导,阎晶明
许梦圆,毕业院校,南京艺术学院
重庆大学,知名人物,赫子铭
西安交通大学,知名人物,屈贤明
陈意涵,毕业院校,景文科技大学
王耀庆,毕业院校,辅仁大学
北京电影学院,知名人物,苗圃
华东理工大学,现任领导,蒋传海
卢克·威尔逊,毕业院校,西方学院
臧洪娜,毕业院校,中国戏曲学院
陶喆,毕业院校,加利福尼亚大学洛杉矶分校
马率,毕业院校,中国传媒大学
中国科学技术大学,现任领导,白春礼
香港中文大学,知名人物,李瑞全
上海商学院,历任领导,李明福
西安交通大学,知名人物,朱夏
香港中文大学,知名人物,许俊炎
吴定谦,毕业院校,台湾大学
哈尔滨工业大学,知名人物,王兆国
重庆交通大学,知名人物,何川
李克勤,毕业院校,香港华仁书院
华东师范大学,知名人物,许子东
上海大学,知名人物,周慕尧
香港中文大学,知名人物,伍经衡
郑云龙,毕业院校,北京舞蹈学院
中央戏剧学院,现任领导,葛秀珍
刘竹,毕业院校,中国科学院
李仁杰,毕业院校,武汉地质学院
但茱迪,毕业院校,嘉诺撒圣玛利书院
吴海英,毕业院校,清华大学
四川大学,现任领导,赵长生
伊犁哈萨克自治州人民政府,现任领导,朱大纲
电子科技大学,知名人物,刘盛纲
吉林大学,知名人物,薛禹群
兰州交通大学,知名人物,拾兵
西安邮电大学,现任领导,巩稼民
四川师范大学,知名人物,林蒙昌
北京理工大学,领导,张军
郑东焕,毕业院校,首尔艺术大学
西安电子科技大学,知名人物,俞白眉
哈尔滨工业大学,现任领导,刘挺
侯晓,毕业院校,中央戏剧学院
房子斌,毕业院校,中央戏剧学院
冀贞贞,毕业院校,天津体育学院
黄豆豆,毕业院校,北京舞蹈学院
北京电影学院,知名人物,向能
娜仁花,毕业院校,北京电影学院
吴咏红,毕业院校,无线电视艺员训练班
哈尔滨工业大学,知名人物,王祖温
北京电影学院,知名人物,肖雄
国依铭,毕业院校,中央戏剧学院
西南大学,知名人物,曾苏民
杨艺,毕业院校,上海戏剧学院
黄震,毕业院校,北京舞蹈学院
湖南大学,知名人物,栾永玉
哈佛大学,知名人物,西奥多·罗斯福
北京交通大学,知名人物,王旭宁
大左,毕业院校,安徽广播影视职业技术学院
星海音乐学院,知名人物,周到
国立西南联合大学,知名人物,梁守槃
华东师范大学,知名人物,陆善镇
中国科学院大学,知名人物,孙家栋
北京师范大学,知名人物,鲁迅
郭传杰,毕业院校,武汉大学
重庆大学,知名人物,李洁
香港中文大学,知名人物,刘玮
娄艺潇,毕业院校,上海戏剧学院
香港科技大学,知名人物,赵克锋
重庆大学,知名人物,冉克平
京都大学,知名人物,西田几多郎
四川师范大学,知名人物,蒋刚
梁笑,毕业院校,天津音乐学院
张永明,毕业院校,中国科学技术大学
崎本大海,毕业院校,庆应义塾大学
苏彦洁,毕业院校,四川传媒学院
洛薇,毕业院校,上海戏剧学院
杭州电子科技大学,知名人物,刘瑞琦
西南大学,知名人物,多布杰
湖南大学,知名人物,杨昌济
四川师范大学,知名人物,张燕飞
孟瑶,毕业院校,北京舞蹈学院
李舒桐,毕业院校,北京舞蹈学院
吕梁,毕业院校,上海戏剧学院
山西大学,知名人物,宋志燕
香港科技大学,知名人物,吴宗权
中华全国新闻工作者协会,历任领导,曾涛
谢娜,毕业院校,四川电影电视学院
徐洪,毕业院校,清华大学
德柏,毕业院校,中国传媒大学
同济大学,知名人物,沙海林
吴斌,毕业院校,天津大学
方毅,毕业院校,中国政法大学
西安交通大学,知名人物,李垣
东北石油大学,知名人物,吴昌聚
托马斯·伍德罗·威尔逊,毕业院校,约翰斯·霍普金斯大学
上海大学,知名人物,鲍培伦
南京师范大学,现任领导,华桂宏
西北工业大学,知名人物,金壮龙
中国人民大学,历任领导,袁宝华
西安交通大学,历任领导,徐名材
香港科技大学,知名人物,王井东
重庆南开中学,知名人物,粟永萍
伦敦大学,知名人物,霍启山
萧蔷,毕业院校,中国文化大学
西安美术学院,知名人物,武德祖
刘浩存,毕业院校,北京舞蹈学院
合肥工业大学,知名人物,蔡建平
陈静,毕业院校,上海工程技术大学
哈尔滨工程大学,现任领导,彭远奎
江宏恩,毕业院校,台北市开南高级商工职业学校
冼迪琦,毕业院校,世界龙冈学校刘皇发中学
清华大学,历任领导,唐国安
北京外国语大学,知名人物,柴玺
李嘉欣,毕业院校,玛利诺修院学校
上海师范大学,知名人物,马春雷
上海大学,知名人物,周忻
刘伟,毕业院校,河南大学
香港中文大学,知名人物,许敬文
湘潭大学,现任领导,潘碧灵
西南大学,知名人物,陶举虎
中国科学技术协会,现任领导,包为民
湘潭大学,知名人物,肖建国
吴晓亮,毕业院校,中央民族大学
中国人民大学,现任领导,冯仕政
范帅琦,毕业院校,中央戏剧学院
陈星旭,毕业院校,中央戏剧学院
高满堂,毕业院校,大连大学
复旦大学,知名人物,秦朔
屠芷莹,毕业院校,中央戏剧学院
华东理工大学,现任领导,沈海涛
西安交通大学,知名人物,戴芳澜
国立西南联合大学,知名人物,王竹溪
张庆伟,毕业院校,西北工业大学
香港中文大学,知名人物,黄易
郭连文,毕业院校,中央戏剧学院
宁夏师范学院,现任领导,吴孝
叶小开,毕业院校,四川音乐学院
北京外国语大学,现任领导,孙有中
南京艺术学院,知名人物,尤长靖
中山大学,知名人物,陈望道
孙樾,毕业院校,浙江传媒学院
成志娄,毕业院校,首尔艺术大学
北京舞蹈学院,知名人物,王丽坤
华中师范大学,历任领导,潘梓年
重庆大学,知名人物,朱合华
西南大学,知名人物,韩卉
侯岩松,毕业院校,中央戏剧学院表演系
郭文韬,毕业院校,北京大学
四川师范大学,知名人物,王强
四川师范大学,知名人物,李良彬
北京大学,知名人物,章鸿钊
斯坦福大学,知名人物,李泽楷
北京电影学院,知名人物,邢佳栋
山西大学,知名人物,郭贵春
中国美术学院,历任领导,滕固
哈尔滨工业大学,知名人物,赵连城
陶典,毕业院校,安徽师范大学传媒学院
中国作家协会,现任领导,张炜
哈佛大学,知名人物,富兰克林·罗斯福
王凯熠,毕业院校,中央戏剧学院
东北石油大学,知名人物,王亚伟
莫言,毕业院校,北京师范大学
重庆大学,知名人物,李建春
郑家彬,毕业院校,南京传媒学院
东华大学,知名人物,郜林
湖南大学,历任领导,刘克利
中国科学技术大学,历任领导,谷超豪
上海师范大学,知名人物,朱孝远
王斑,毕业院校,中央戏剧学院
西安电子科技大学,知名人物,段宝岩
鞠江,毕业院校,北京电影学院
崔俊杰,毕业院校,北京电影学院
复旦大学,知名人物,王家瑞
同济大学,知名人物,阳安江
汉阳大学,知名人物,郑梦九
香港科技大学,知名人物,李友情
重庆工商大学,领导,曾维伦
高丽雯,毕业院校,纽约大学
上海大学,知名人物,杨雄里
南京邮电大学,知名人物,祁晓荔
大连理工大学,历任领导,钱令希
中央研究院,历任领导,吴大猷
北京师范大学,知名人物,梁启超
重庆大学,知名人物,江善明
广濑裕也,毕业院校,日本播音演技研究所
四川师范大学,知名人物,王华蓉
吉林大学,知名人物,王梓木
萨日娜,毕业院校,上海戏剧学院
北京外国语大学,知名人物,刘结一
黄家强,毕业院校,博允中学
北京邮电大学,知名人物,李道本
成均馆大学,知名人物,郑烘原
张东刚,毕业院校,南开大学
圣约翰大学,知名人物,刘以鬯
湖南大学,知名人物,曹立军
成会明,毕业院校,中国科学院金属研究所
北京交通大学,知名人物,赵吉斌
西安交通大学,知名人物,耿庆义
凌振赫,毕业院校,天津师范大学
吕韵季,毕业院校,高丽大学
中国传媒大学,知名人物,维妮娜
廖昌永,毕业院校,上海音乐学院
东南大学,知名人物,周仁
重庆南开中学,知名人物,周光召
四川师范大学,知名人物,周迎春
山西大学,历任领导,邓初民
徐峥,毕业院校,上海戏剧学院
香港中文大学,知名人物,古德明
湘潭大学,知名人物,徐宪平
北京交通大学,知名人物,高自友
南开大学,知名人物,相建海
海南大学,现任领导,骆清铭
李佳洁,毕业院校,北京电影学院
同济大学,知名人物,潘镜芙
北京电影学院,历任领导,张会军
赫雷,毕业院校,东华大学
夏磊,毕业院校,中国传媒大学
成均馆大学,知名人物,崔哲浩
香港大学,知名人物,简悦威
白澍,毕业院校,上海戏剧学院
同济大学,知名人物,密春雷
西安交通大学,知名人物,李正武
可林桑拉铺·皮木颂克朗,毕业院校,曼谷大学
中国传媒大学,知名人物,郏捷
倪震,毕业院校,佛罗里达大学
北京交通大学,知名人物,刘振芳
上海师范大学,知名人物,吴景平
华东师范大学,现任领导,戴立益
黄祖洽,毕业院校,清华大学
西安电子科技大学,知名人物,于全
北京体育大学,领导,曹卫东
上海师范大学,知名人物,梁国扬
重庆大学,知名人物,杨永斌
西南交通大学,历任领导,黎照寰
中央财经大学,知名人物,吴北英
陈彤,毕业院校,中国政法大学
湖南大学,知名人物,荣秀丽
边辉,毕业院校,北京电影学院
郭敬明,毕业院校,上海大学
同济大学,知名人物,张祖林
此沙,毕业院校,四川电影电视学院
田松,毕业院校,中央戏剧学院
香港中文大学,知名人物,徐立
南京师范大学,历任领导,孟宪承
北京电影学院,知名人物,焉栩嘉
香港科技大学,知名人物,麻志明
许薇,毕业院校,中央戏剧学院
圣约翰大学,知名人物,张爱玲
张亚非,毕业院校,吉林大学
北京电影学院,知名人物,王建军
北京邮电大学,知名人物,杨杰
四川师范大学,知名人物,曾省权
陈哲远,毕业院校,深圳大学
北京大学,知名人物,艾思奇
张景中,毕业院校,北京大学
同济大学,知名人物,朱家骅
国立西南联合大学,知名人物,林为干
中国科学技术协会,现任领导,武向平
湖南大学,知名人物,刘正
重庆大学,知名人物,薛传道
北京电影学院,知名人物,杜淳
经福谦,毕业院校,南京大学
吉克隽逸,毕业院校,重庆外语外事学院
同济大学,知名人物,饶斌
邰正宵,毕业院校,台湾高雄医学大学
李嘉欣,毕业院校,中国传媒大学
吴雅君,毕业院校,山东艺术学院
四川师范大学,知名人物,王邦习
中国传媒大学,知名人物,金越
湘潭大学,知名人物,蒋丽忠
井上真央,毕业院校,明治大学
马里兰大学帕克分校,知名人物,焦念志
京都大学,知名人物,池田勇人
李军,毕业院校,北京体育大学
孙本文,毕业院校,纽约大学
约翰·肯尼迪,毕业院校,哈佛大学
西安交通大学,知名人物,胡聿贤
刘萌萌,毕业院校,沈阳音乐学院舞蹈学院
同济大学,知名人物,时传清
姬崇恭,毕业院校,中央戏剧学院
哈尔滨工业大学,知名人物,王光远
西北大学,知名人物,张维迎
成方旭,毕业院校,山东艺术学院戏剧学院
山西大学,知名人物,梁园东
西南大学,知名人物,谌利军
西南大学,知名人物,林季周
重庆大学,知名人物,王利器
北京大学,知名人物,孙国华
安徽师范大学,知名人物,王胜俊
张伯声,毕业院校,芝加哥大学
宋嘉豪,毕业院校,中央戏剧学院
中华全国妇女联合会,现任领导,陈化兰
吉林大学,知名人物,马蔚华
马伊琍,毕业院校,上海戏剧学院
王雨甜,毕业院校,天津大学
马丁,毕业院校,上海戏剧学院
王青,毕业院校,南开大学
雷雷,毕业院校,上海师范大学
四川师范大学,知名人物,田承春
圣约翰大学,知名人物,董鼎山
吴华清,毕业院校,长江大学
东国大学,知名人物,郑多惠
蒙曼,毕业院校,北京大学
中国作家协会,现任领导,阎晶明
重庆大学,知名人物,何晋秋
湖南大学,知名人物,文圣常
伦敦大学,知名人物,莫文蔚
程梓,毕业院校,北京电影学院
郑昌泓,毕业院校,兰州交通大学
哈尔滨工业大学,知名人物,胡永柱
居来,毕业院校,北京电影学院
海一天,毕业院校,上海戏剧学院
香港中文大学,知名人物,顾东辉
北京外国语大学,知名人物,唐龙彬
谢宏,毕业院校,浙江工商大学
西安交通大学,知名人物,张荻
香港中文大学,知名人物,靳埭强
香港中文大学,知名人物,宋靖雁
桑茗胜,毕业院校,中央戏剧学院表演系
北京交通大学,知名人物,梁建英
湘潭大学,知名人物,黄国翔
香港中文大学,知名人物,查毅超
高纪凡,毕业院校,吉林大学
中国社会科学院研究生院,历任领导,李铁映
北京科技大学,现任领导,于成文
上海师范大学,知名人物,贾青
同济大学,知名人物,周厚健
北京电影学院,知名人物,潘星谊
安徽师范大学,历任领导,程天放
香港中文大学,知名人物,刘晓婷
华东师范大学,知名人物,张帆
哈佛大学,知名人物,潘基文
郑泉水,毕业院校,清华大学
香港大学,现任领导,梁高美懿
吉林艺术学院,知名人物,闫学晶
中国作家协会,现任领导,麦家
圣约翰大学,创始人,施约瑟
北京邮电大学,知名人物,谢高觉
西安交通大学,历任领导,凌鸿勋
杨紫茳,毕业院校,中央戏剧学院
黄轩,毕业院校,北京舞蹈学院
合肥工业大学,知名人物,崔德密
杨光,毕业院校,黑龙江大学
香港中文大学,知名人物,喻晓
董时进,毕业院校,康奈尔大学
山西大学,知名人物,李俊清
湘潭大学,知名人物,邱利军
中国科学技术协会,现任领导,陈维江
张韶涵,毕业院校,加拿大温斯顿爵士丘吉尔中学
赵文琪,毕业院校,北京电影学院
徐步,毕业院校,外交学院
杜彦良,毕业院校,北京航空航天大学
同济大学,知名人物,王涛
北京电影学院,知名人物,郑凯
拉简·隆多,毕业院校,肯塔基大学
门东毅,毕业院校,中央戏剧学院
北京大学,知名人物,严复
许峰,毕业院校,河海大学
高小玫,毕业院校,北京科技大学
黄锶骐,毕业院校,中国音乐学院
斯坦福大学,知名人物,温顿·瑟夫
斯坦福大学,知名人物,刘遵义
陈嘉男,毕业院校,中央戏剧学院
海南大学,历任领导,刘康德
郭震,毕业院校,中央戏剧学院
哈尔滨工业大学,知名人物,孙勤
尹笃林,毕业院校,湖南师范大学
上海大学,知名人物,李芸
香港中文大学,知名人物,马力
周厚健,毕业院校,山东大学
吴海云,毕业院校,苏州大学
祖峰,毕业院校,北京电影学院
香港浸会大学,创始人,林子丰
约翰·杜威,毕业院校,佛蒙特大学
彭楚粤,毕业院校,星海音乐学院
海南大学,知名人物,温洋
西南大学,知名人物,简大钧
冯定,毕业院校,莫斯科中山大学
苏小玎,毕业院校,中央戏剧学院
