name,type,bookLiteratureBorrowCount,bookShelfSingleLayerTotalLength,libraryLevel,libraryWebsiteAccess,actualPropertyArea,buildingArea,currentYearPurchasedPeriodicals,totalCirculationPersonTimes,totalCollection,county,isChildrenLibrary,isNormalOpen,validBorrowCardCount,newElectronicBookCount,newCollectionCount,electronicBook,organizationCode,computerCount,readingRoomSeatCount,address,city,phoneNumber,latitude,longitude,postalCode,id
桐庐县图书馆,图书馆,2018年-459511,2018年-8895,2016年-一级馆,2017年-75382,2017年-1560,2017年-7760,2017年-591,2016年-241329,2017年-623552,桐庐县,否,正常活动,2016年-21470,2016年-3600,2016年-39785,2016年-709200,470300067,2017年-79,2018年-373,桐君街道白云源路608号,杭州市,64218555,29.838824,119.69237,311500,桐庐县图书馆
上虞区图书馆,图书馆,,,一级馆,,,,,,,上虞区,否,正常活动,,,,,,,,上虞市百官街道市民中心一路2号,绍兴市,,30.037842,120.8681,312300,上虞区图书馆
建德市图书馆,图书馆,2016年-334000,2016年-4980,2017年-一级馆,2017年-22000,2017年-6037,2017年-6037,2017年-585,2018年-580000,2017年-695192,建德市,否,正常活动,2018年-470000,2017年-630,2017年-33584,2017年-59438,470482585,2018年-66,2018年-422,建德市广兴路10号,杭州市,64070880,29.487829,119.298842,311600,建德市图书馆
张元济图书馆,图书馆,2017年-755040,2018年-8475,2018年-一级馆,2016年-801526,2016年-10743,2018年-11843,2018年-847,2016年-1200000,2017年-751641,海盐县,否,正常活动,2018年-57892,2016年-80000,2018年-29262,2017年-1000000,47103029X,2018年-140,2017年-750,海盐县武原镇文昌东路6号,嘉兴市,86023951,30.524364,120.95596,314300,张元济图书馆
瑞安市图书馆,图书馆,2018年-1095889,2017年-0,2016年-一级馆,2018年-96466,2018年-12172,2016年-14872,2017年-1754,2016年-1324228,2017年-896511,瑞安市,否,正常活动,2016年-0,2016年-0,2018年-100574,2017年-1413000,470869229,2016年-160,2017年-480,瑞安市安阳罗阳大道瑞安广场东首,温州市,66886991,27.777119,120.666906,325200,瑞安市图书馆
新昌县图书馆,图书馆,2016年-425436,2018年-6893,2017年-一级馆,2017年-68090,2018年-6000,2016年-6000,2018年-1084,2016年-555389,2017年-372295,新昌县,否,正常活动,2017年-3176,2018年-1800,2018年-78401,2017年-252200,471450200,2016年-70,2017年-400,新昌县七星街道鼓山西路128号,绍兴市,86022506,29.509777,120.882392,312500,新昌县图书馆
宁波市海曙区图书馆,图书馆,2018年-830659,2017年-2211,2017年-一级馆,2018年-6450,2017年-5400,2017年-2200,2017年-350,2017年-2024367,2018年-245044,海曙区,否,正常活动,2017年-8806,2016年-5000,2018年-48984,2018年-53000,775639379,2017年-68,2017年-348,宁波市海曙区沁园街345号海曙区文体中心一层,宁波市,87122351,29.881356,121.519159,315000,宁波市海曙区图书馆
宁波市江北区图书馆,图书馆,2017年-227638,2018年-736,2017年-二级馆,2018年-0,2018年-0,2017年-4500,2016年-243,2016年-24458,2017年-449113,江北区,否,正常活动,2018年-9799,2018年-3000,2016年-10000,2018年-3000,775636442,2018年-61,2016年-246,江北区丽江西路77号,宁波市,87660783,29.916535,121.54075,315020,宁波市江北区图书馆
桐乡市图书馆,图书馆,2016年-1128123,2017年-4368,2017年-一级馆,2018年-138712,2017年-0,2018年-13595,2018年-700,2016年-1714184,2016年-1262074,桐乡市,否,正常活动,2016年-79263,2018年-3000,2018年-121563,2016年-50000,471060368,2016年-93,2016年-1344,市政广场西侧,嘉兴市,88113636,28.86277,121.153404,314500,桐乡市图书馆
临安区图书馆,图书馆,,,一级馆,,,,,,,临安区,否,正常活动,,,,,,,,临安市锦城街道城中街261号,杭州市,,30.235342,119.726166,311300,临安区图书馆
杭州市萧山图书馆,图书馆,2018年-550133,2018年-3906,2018年-一级馆,2017年-68155,2018年-0,2017年-30000,2018年-814,2018年-1411573,2016年-2710708,萧山区,否,正常活动,2018年-1572116,2017年-0,2018年-208761,2018年-142485,470450110,2018年-166,2018年-1268,萧山区市心中路958号,杭州市,83869047,30.190726,120.27426,311202,杭州市萧山图书馆
绍兴市越城区图书馆,图书馆,2017年-621843,2016年-1,2016年-一级馆,2017年-28313,2016年-0,2016年-4500,2017年-410,2018年-1394767,2018年-358816,越城区,是,正常活动,2016年-2216,2018年-1200,2018年-43965,2018年-203000,327887635,2017年-75,2018年-422,延安路565号,绍兴市,88401318,30.273718,120.169576,312000,绍兴市越城区图书馆
嵊泗县图书馆,图书馆,2017年-66456,2017年-3722,2017年-二级馆,2017年-5591,2016年-0,2017年-3700,2017年-361,2018年-28518,2017年-136263,嵊泗县,否,正常活动,2018年-3310,2018年-872,2017年-7011,2016年-2826,472230736,2018年-50,2017年-152,嵊泗县菜园镇望海路393号,舟山市,5089148,30.737576,122.464104,202450,嵊泗县图书馆
乐清市图书馆,图书馆,2017年-868908,2018年-6000,2017年-一级馆,2016年-10000,2016年-0,2016年-31645,2018年-1433,2017年-2328624,2018年-793705,乐清市,否,正常活动,2016年-29810,2016年-0,2018年-88117,2017年-1250000,470681306,2017年-122,2018年-3000,乐清市乐成镇南大街109号,温州市,62526562,28.128647,120.968073,325600,乐清市图书馆
杭州市滨江区图书馆,图书馆,2016年-0,2016年-0,2018年-一级馆,2018年-0,2018年-0,2017年-7000,2017年-684,2018年-925565,2018年-365550,滨江区,否,正常活动,2018年-32841,2018年-0,2018年-122202,2016年-0,TJ3001084,2017年-88,2016年-0,杭州市滨江区泰安路200号滨江文化中心6楼,杭州市,87702381,30.215665,120.216724,310000,杭州市滨江区图书馆
湖州市图书馆,图书馆,2016年-1071504,2016年-15489,2017年-一级馆,2017年-799753,2018年-15395,2017年-15700,2018年-1024,2018年-1754025,2017年-979377,330501,否,正常活动,2018年-75187,2018年-139770,2017年-71301,2018年-519770,471171586,2018年-160,2016年-570,龙王山路728号,湖州市,2399856,30.897103,120.098151,313000,湖州市图书馆
江山市图书馆,图书馆,2017年-335384,2017年-4600,2017年-二级馆,2018年-0,2018年-0,2017年-2007,2017年-365,2017年-361527,2016年-225890,江山市,否,正常活动,2016年-15289,2016年-1800,2018年-35100,2017年-7400,472061995,2017年-54,2016年-208,江山市江路18－2号,衢州市,4020711,28.742868,118.633583,324100,江山市图书馆
普陀区图书馆,图书馆,2017年-682000,2018年-10767,2017年-一级馆,2018年-36170,2017年-0,2017年-8296,2017年-522,2017年-646481,2017年-319092,普陀区,否,正常活动,2017年-47922,2018年-2400,2018年-16097,2017年-1224400,472170411,2016年-69,2016年-252,舟山市普陀区东港海华路589号,舟山市,3806697,29.973935,122.324015,316100,普陀区图书馆
临海市图书馆,图书馆,2016年-301660,2017年-3658,2017年-一级馆,2018年-583205,2017年-3500,2016年-3500,2017年-320,2016年-2281500,2016年-434661,临海市,否,正常活动,2018年-54208,2017年-0,2016年-44359,2017年-0,728441861,2018年-81,2017年-415,临海市东湖路35号,台州市,85111366,28.853287,121.129531,317000,临海市图书馆
遂昌县图书馆,图书馆,2018年-70078,2016年-2122,2018年-三级馆,2017年-3576,2016年-1700,2017年-1700,2017年-331,2018年-208638,2016年-148559,遂昌县,否,正常活动,2017年-6800,2017年-3000,2017年-32412,2016年-0,472490511,2017年-40,2017年-170,浙江省遂昌县妙高镇公园路95号,丽水市,8122284,28.597041,119.278668,323300,遂昌县图书馆
湖州市南浔区图书馆,图书馆,2018年-290382,2016年-3750,2018年-无等级馆,2018年-18182,2018年-4600,2016年-4600,2018年-352,2016年-302310,2018年-601520,南浔区,否,正常活动,2017年-15983,2017年-23823,2018年-30332,2016年-80000,564446702,2017年-99,2016年-420,湖州市南浔镇向阳路601号,湖州市,3023169/3023369,30.858143,120.425264,313009,湖州市南浔区图书馆
慈溪市图书馆,图书馆,2017年-485123,2017年-5664,2017年-一级馆,2018年-1504086,2016年-15018,2016年-15018,2017年-1692,2018年-863434,2016年-715004,慈溪市,否,正常活动,2017年-70788,2016年-0,2017年-39638,2017年-2001353,419687913,2018年-1603,2017年-1000,慈溪市新城大道北路55号,宁波市,63035705,30.315384,120.395651,315300,慈溪市图书馆
江干区图书馆,图书馆,2017年-934986,2017年-434,2017年-一级馆,2016年-8603,2016年-0,2017年-3500,2018年-490,2016年-624648,2017年-374679,上城区,否,正常活动,2017年-12819,2017年-350000,2016年-43999,2016年-0,691744104,2016年-30,2016年-722,江干区太平门直街458号,杭州市,86753385,30.266666,120.212377,310016,江干区图书馆
绍兴市柯桥区图书馆,图书馆,2016年-385670,2018年-6425,2016年-一级馆,2017年-51417,2018年-4800,2017年-9646,2017年-1478,2018年-1112180,2016年-389405,柯桥区,否,正常活动,2017年-63518,2016年-0,2017年-60197,2017年-77624,DJ1235235,2017年-114,2018年-1174,绍兴市柯桥区明珠路396号,绍兴市,85282968,30.084262,120.49811,312030,绍兴市柯桥区图书馆
杭州少年儿童图书馆,图书馆,2016年-1399492,2017年-5352,2018年-一级馆,2017年-6409439,2018年-5695,2017年-6003,2018年-524,2017年-555881,2016年-1108131,330101,是,正常活动,2016年-306011,2018年-200000,2017年-105536,2017年-1012729,470115283,2016年-92,2016年-895,杭州市曙光路75号,杭州市,86535018,30.269617,120.141665,310000,杭州少年儿童图书馆
